"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1991","1421","       10","         3","10","9","8.4","3.00","102","4032","45.19","18.4","57.2","65.5","48.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1992","879","        8","         4","11","6","6.2","2.80","93","4716","43.37","12.2","53.9","61.6","46.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1993","1329","       22","         8","7","8","10.2","2.37","102","4849","44.29","31.0","55.5","63.7","47.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994","1184","       66","        12","-2","22","12.8","1.87","98","5077","47.39","46.5","55.2","63.5","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995","1280",14,"         6","6",,"10.8","3.13","102","4279","40.44","26.3","55.3","63.0","47.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1996","970",20,"        12","5",,"13.6","4.35","96","5210","56.22","61.3","53.7","60.5","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997","955",34,"         4","4",,"3.5","3.75","97","4775","43.99","9.9","54.3","61.6","47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998","1170",23,"         2","14",,"5.0","2.55","93","4353","48.72","7.5","57.1","64.0","50.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999","1281",30,"         4","9",,"4.0","5.02","101","4291","41.54","10.7","56.5","63.9","49.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000","880",16,"         7","3",,"12.0","3.24","93","4490","45.47","29.7","53.8","60.7","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001","1184",19,"         6","16",,"6.0","2.16","103","5045","35.67","21.7","56.2","63.4","49.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002","1349",24,"         3","19",,"6.0","3.06","98","3946","45.25","14.5","56.4","63.8","49.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003","982",30,"        12","7",,"16.3","2.75","94","5357","58.45","58.1","53.4","60.1","46.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004","1019","       29","         6","1","12","6.0","3.84","91","4856","51.94","25.9","54.5","61.5","47.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005","1437","       43","        14","5","14","8.5","4.26","99","4781","55.99","47.7","55.7","62.9","48.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006","1100","       10","         4","15","17","24.1","3.60","97","4319","59.90","30.3","56.8","63.9","49.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007","1179","       13","         6","8","5","5.5","7.57","92","4521","61.73","15.4","55.0","62.3","47.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008","1137","        9","         4","10","5","6.0","3.26","96","4531","53.64","15.0","55.3","62.8","47.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009","843","       27","        11","6","10","9.1","2.30","92","4896","53.64","34.0","54.0","60.9","47.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010","1513","       24","         7","13","21","12.2","3.86","103","4433","49.40","59.1","56.7","63.8","49.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011","1298","       52","        12","6","23","12.3","5.81","104","4784","72.85","44.6","56.4","63.6","49.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012","1247","        4","         2","13","4","4.3","2.45","100","3773","38.54","9.6","57.3","64.3","50.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013","1246","       17","         8","11","11","6.3","4.16","98","4700","46.35","29.7","55.3","62.3","48.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014","1100","       53","        12","4","18","11.0","4.97","92","5010","53.80","50.0","54.4","61.6","47.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015","1539","       54","        14","2","19","7.5","2.10","97","5025","40.98","49.1","56.7","64.1","49.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016","1457","       13","         4","-1","22","27.3","2.31","96","3819","42.21","36.0","57.2","64.6","49.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017","1225","       24","         9","9","8","9.4","3.03","94","4277","45.07","34.6","56.4","63.2","49.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018","1393","       16","         6","5","8","9.8","2.90","96","4591","65.56","39.6","55.9","62.6","49.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019","1231","       11","         7","2","4","4.0","1.83","95","4662","53.06","16.7","55.6","62.5","48.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020","1306","        9","         3","14","9","6.5","2.54","96","4333","45.39","12.8","57.3","64.3","50.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021","1290","       24","         6","14","14","14.8","7.13","98","4282","59.77","28.3","56.9","63.7","50.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022","1349","       11","         4","7","7","7.3","1.85","97","4286","46.29","17.6","56.3","63.6","49.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023",,,,,,,,,,,,,,
